proseExcerpt	fixtureCount	02-choi-	04-kim-s	05-park-	06-lee-h	08-kim-j	09-kim-s	10-choi-	11-park-	12-jeong	13-oh-ex	14-choi-	15-choi-	16-choi-	17-kim-s	18-lee-c	19-gyeok	20-gyeok	21-multi	22-low-c	23-jongg	24-jongg	25-jongg	26-jongg	27-jongg	28-jongg	29-pure-	30-jeolg	31-newbo	32-nonag	33-conse	34-gyeok	35-palac
#지살의 신호가 보일 때는 잠시 환경을 바꿔 주는 자극이 컨디션에 새 호흡을 더해 주고, #천의의 자리가 의료·치유 흐름의 도움을 천천히 흘려 	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
생애 학업운에서 봄과 여름의 현재 계절은 학습 입력을 실제 산출로 전환하는 힘을 키워요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#정인은 기본기와 정석을 잡고, #식신은 배운 내용을 설명과 결과물로 바꿉니다.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#용신 방향과 맞는 학습 루틴을 장기 기준으로 두면 좋아요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#대운궁실의 결과 #일진이 함께 활기를 띠는 시기에는 그동안 미뤄 둔 학습 한 단원을 매듭지을 흐름이 자연스럽게 모여요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
인연의 흐름은 큰 사건보다 매일의 태도에서 천천히 만들어져요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
가족 장기 흐름에서 봄과 여름의 현재 계절은 관계 안의 활동성과 역할 노출을 키워요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#비견은 가족 안에서 자기 기준을 세우게 하고, #정인은 돌봄과 보호의 반복성을 봐요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#용신과 맞는 관계 방식이면 주도권을 나누고, 맞지 않으면 약속 범위를 줄여 충돌을 낮추는 해석이 적절해요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
가족 자리는 #부모궁과 #조상궁이 흐름을 어떻게 이어 주는지 함께 살펴 두면 결정이 한층 또렷해지고, 평소 건네는 인사가 오래 남는 자리예요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#장성살의 신호와 #천의의 흐름이 함께 보이는 사주는 자기 자리에 머무는 호흡과 곁의 도움을 거절하지 않는 호흡이 둘 다 잘 어울려요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
직업운은 #정관의 책임 자리와 #식신의 결과 자리가 함께 단단해질 때 한 단계 더 또렷해지는 흐름이라, 무리한 한 번보다 자기 호흡대로의 결과물	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
문서 장기운에서 봄과 여름의 현재 계절은 문서 작성, 제출, 결과물 전환이 빨라지는 흐름이에요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#정인은 근거와 자료의 축적을, #식신은 문서 결과물의 생산성을 봐요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#용신과 충돌하면 제출 범위를 줄이고 검토 단계를 앞당기는 편이 적절해요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#천덕귀인의 결과 #월덕귀인의 자리가 함께 보이면 문서 흐름이 차분하게 자리 잡는 사주이니, 작은 도움도 미루지 않는 호흡이 잘 어울려요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
장기 흐름에서 봄과 여름의 현재 계절은 표현과 산출 속도를 높여요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#식신은 안정적 생산성을, #상관은 기존 틀을 깨는 표현을 키워요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#자식궁과 연결해 보면 창작, 돌봄, 후배 양육의 방식이 더 선명해져요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#화개의 결과 #문창귀인의 자리가 함께 보이는 사주는 깊이 있는 표현이 자기 자산이 되는 모양이에요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
오늘 건강운에서 봄과 여름 기운은 활동량과 열감을 빠르게 올릴 수 있습니다.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#정인의 회복 루틴이 받쳐 주면 움직임이 득이 되지만, #편인이 과하면 예민함과 수면 흔들림이 커질 수 있습니다. #안정성지수를 낮추는 선택은 	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#조후용신의 흐름이 또렷한 사주는 #조후의 흐름이 컨디션의 큰 축을 잡아 주는 자리라, 계절의 흐름을 따라 자기 페이스를 천천히 맞춰 두는 호흡	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#지살의 흐름이 자리할 때는 짧은 외출이 자기 컨디션을 부드럽게 환기시키고, #천의의 자리는 가까운 회복 흐름이 다정하게 닿아 주는 흐름을 만들	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#문창귀인의 결과 #학당의 자리가 함께 보이는 사주는 시험·연구 흐름이 부드럽게 자리 잡는 모양이라, 자기 흐름을 차분히 따라가는 페이스가 잘 	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
오늘은 마음을 급히 확인하려 하기보다 편안한 대화가 더 좋아요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
오늘의 인연운은 세게 밀어붙이는 쪽보다 서로의 리듬을 확인하는 쪽이 더 자연스러워요. 먼저 결론을 묻기보다 편안한 말투로 근황을 나누면 관계의 	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#처궁의 결과 #자식궁의 자리가 함께 살아나는 시기엔 가까운 관계가 한 단계 깊어지는 흐름이 보여요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
오늘 가족운에서 봄과 여름 기운은 말과 반응 속도를 빠르게 만듭니다.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#비견이 강하면 내 기준을 지키려는 힘이 커지고, #정인이 받쳐 주면 정서적 회복이 빠릅니다.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#정관처럼 책임을 앞세운 말이 과하면 대화가 지시처럼 들릴 수 있습니다.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#삼형이나 #형살이 함께 자리한 시기에는 말의 속도를 한 박자 늦추고 가족 분위기를 천천히 다듬는 호흡이 잘 어울려요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
오늘의 직업운에서 봄과 여름 기운은 말, 제안, 빠른 실행을 앞세웁니다.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#식신이 산출물로 이어지는지, #격국적합도가 오늘 맡은 역할과 맞는지 함께 보세요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#용신 방향이면 제안과 발표가 득이 되지만, 충돌하면 말이 앞서고 마감이 흔들릴 수 있습니다.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#관록궁의 결과 #편관의 압박이 함께 들어오는 시기에는 일을 미리 분산해 두는 호흡이 자기 페이스를 지켜 줘요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
일간 학습/문서운에서 봄과 여름의 현재 계절은 입력보다 출력 전환을 빠르게 만듭니다.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#정인은 기본 이해를 잡고, #식신은 정리한 내용을 실행 가능한 문장으로 바꿉니다.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#편인이 과하면 자료 탐색이 길어질 수 있으니 제출 기준을 먼저 정하세요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
#관록궁의 자리와 #복덕궁의 흐름이 함께 또렷해지는 시기엔 자격·계약·발표 흐름이 한 흐름으로 마무리되는 자리가 보여요.	27	X	.	X	X	X	X	X	X	X	X	X	X	X	X	.	X	X	X	X	X	X	X	X	.	X	X	.	.	X	X	X	X
