fixture	period	category	depth	slot	cellKey	plainText
02-choi-seongsoo-tiered-fortune.json	life	wealth	standard	para0	life/wealth/standard/para0	평생의 재물은 천천히, 그러나 또렷하게 모이는 편이에요. 한 번에 큰돈을 잡기보다는 작은 관리 습관을 차곡차곡 다듬는 방식이 잘 어울려요.
02-choi-seongsoo-tiered-fortune.json	life	wealth	standard	para1	life/wealth/standard/para1	비유하자면 들판이 한 줌씩 가지런히 다져지는 그림이에요. 한 번에 큰 무리수를 좇기보다 한 자리씩 단단히 다져 가는 흐름이 꾸준함을 만들어, 자산을 키워 줘요.
02-choi-seongsoo-tiered-fortune.json	life	wealth	standard	para2	life/wealth/standard/para2	잘 풀리는 지점은 꾸준한 관리예요. 적금처럼 일정한 기준을 만들어 두면, 시간이 지나며 단단한 자산이 자리 잡아요.
02-choi-seongsoo-tiered-fortune.json	life	wealth	standard	para3	life/wealth/standard/para3	주의할 점은 큰 한 방을 좇아 페이스를 잃는 거예요. 자기 속도와 다른 선택을 따라가다 보면 모은 돈도 흩어질 수 있어요.
02-choi-seongsoo-tiered-fortune.json	life	wealth	standard	para4	life/wealth/standard/para4	천천히 가는 것이 결국 가장 빠른 길이에요. 자기 속도를 지키는 것 자체가 큰 자산이에요.
02-choi-seongsoo-tiered-fortune.json	life	wealth	expert	para0	life/wealth/expert/para0	신약한 일간이 #용신을 따라 흐름을 잡아 가는 과정이에요. 재성을 직접 다스리기보다, #정인이나 #비견이 도와줄 때 흐름이 부드러워져요.
02-choi-seongsoo-tiered-fortune.json	life	wealth	expert	para1	life/wealth/expert/para1	#정재의 방향이 또렷이 자리 잡으면 꾸준함이 가장 큰 무기가 되는 모양이에요. 적금·정기수입처럼 호흡이 잡힌 자산이 잘 어울려요.
02-choi-seongsoo-tiered-fortune.json	life	wealth	expert	para2	life/wealth/expert/para2	#편재가 강해 보일 때는 신중함이 필요해요. 큰 거래의 흐름을 맞이할 힘이 부족해, 한 박자 늦추는 방식이 좋아요.
02-choi-seongsoo-tiered-fortune.json	life	wealth	expert	para3	life/wealth/expert/para3	#겁재가 들어오는 시기엔 동업·돈거래는 평소보다 한 번 더 살피면 좋아요.
02-choi-seongsoo-tiered-fortune.json	life	wealth	expert	para4	life/wealth/expert/para4	#용신의 흐름이 평생 자산을 만드는 가장 큰 축이라, 한 번에 큰 자리를 잡기보다 작은 호흡 위에 호흡을 얹어 두는 방식이 가장 단단해요. #정인의 받침이 든든해지는 시기엔 자기 페이스의 기준이 또렷해지면서 흔들림이 줄어드는 흐름이라, 시간을 자기 편으로 두는 자세가 평생의 자산을 부드럽게 받쳐 줘요.
02-choi-seongsoo-tiered-fortune.json	life	health	brief	headline	life/health/brief/headline	보통의 흐름이라 평소 습관이 가장 큰 자산이에요.
02-choi-seongsoo-tiered-fortune.json	life	health	standard	para0	life/health/standard/para0	활동량이 많은 흐름의 사주라, 평생 페이스에서 강도 조절이 가장 큰 과제예요. 자기 그릇을 알고 한 박자 천천히 가는 자리를 만들어 두면 후반까지 컨디션이 단단하게 이어져요.
02-choi-seongsoo-tiered-fortune.json	life	health	standard	para1	life/health/standard/para1	무리한 강도·갑작스러운 변화를 한 번씩 누적하면 신호가 늦게 오지만 크게 와요. 정기 점검·정기 휴식 자리를 일정에 미리 넣어 두는 편이 좋아요.
02-choi-seongsoo-tiered-fortune.json	life	health	standard	para2	life/health/standard/para2	자기 회복 신호를 부끄럽지 않게 받아들이는 연습이 평생 큰 자산이 돼요. 누군가에게 의지하는 시간도 강한 사람의 흐름의 한 부분이에요.
02-choi-seongsoo-tiered-fortune.json	life	health	expert	para0	life/health/expert/para0	장기 건강운에서 봄과 여름의 현재 계절은 활동성과 대사 리듬을 빠르게 만듭니다.
02-choi-seongsoo-tiered-fortune.json	life	health	expert	para1	life/health/expert/para1	#정인이 받쳐 주면 회복이 안정되지만, #편인이 과하면 컨디션 해석이 예민해질 수 있습니다. #용신 방향의 보충 루틴을 오래 유지하세요.
02-choi-seongsoo-tiered-fortune.json	life	health	expert	para2	life/health/expert/para2	#지살의 신호가 보일 때는 잠시 환경을 바꿔 주는 자극이 컨디션에 새 호흡을 더해 주고, #천의의 자리가 의료·치유 흐름의 도움을 천천히 흘려 보내 줘요.
02-choi-seongsoo-tiered-fortune.json	life	health	expert	para3	life/health/expert/para3	#음양조화도의 평균이 또렷한 사주는 #안정성지수도 함께 단단해지는 자리라, 큰 결정보다 작은 회복 습관이 평생의 무기가 돼요.
02-choi-seongsoo-tiered-fortune.json	life	academic	brief	headline	life/academic/brief/headline	천천히, 조금씩 쌓아 올리는 학업운이에요.
02-choi-seongsoo-tiered-fortune.json	life	academic	standard	para0	life/academic/standard/para0	평생 학업은 폭발적으로 솟기보다 곁의 도움을 받으며 천천히 단단해지는 편이에요. 한 번에 큰 결과를 내려 하기보다 작은 마무리를 차곡차곡 쌓는 식이 잘 어울려요.
02-choi-seongsoo-tiered-fortune.json	life	academic	standard	para1	life/academic/standard/para1	좋은 선생·책·동료를 만나면 그 도움으로 가까운 분야부터 길이 열려요. 무리하게 끌고 가기보다 휴식과 학습의 리듬을 짜 두는 것이 결국 더 멀리 가는 길이에요.
02-choi-seongsoo-tiered-fortune.json	life	academic	standard	para2	life/academic/standard/para2	도움을 청하는 한 마디가 아주 큰 자산이에요.
02-choi-seongsoo-tiered-fortune.json	life	academic	expert	para0	life/academic/expert/para0	생애 학업운에서 봄과 여름의 현재 계절은 학습 입력을 실제 산출로 전환하는 힘을 키워요.
02-choi-seongsoo-tiered-fortune.json	life	academic	expert	para1	life/academic/expert/para1	#정인은 기본기와 정석을 잡고, #식신은 배운 내용을 설명과 결과물로 바꿉니다.
02-choi-seongsoo-tiered-fortune.json	life	academic	expert	para2	life/academic/expert/para2	#용신 방향과 맞는 학습 루틴을 장기 기준으로 두면 좋아요.
02-choi-seongsoo-tiered-fortune.json	life	academic	expert	para3	life/academic/expert/para3	#대운궁실의 흐름과 #일진이 함께 활기를 띠는 시기에는 그동안 미뤄 둔 학습 한 단원을 매듭지을 흐름이 자연스럽게 모여요.
02-choi-seongsoo-tiered-fortune.json	life	romance	brief	headline	life/romance/brief/headline	인연의 흐름은 큰 사건보다 매일의 태도에서 천천히 만들어져요.
02-choi-seongsoo-tiered-fortune.json	life	romance	standard	para0	life/romance/standard/para0	남성으로 살아가는 인생 전체의 인연운은 가을바람처럼 담백한 흐름을 가까이 두는 시기가 많아요. 사주에 가장 필요한 기운이 쇠(金)인 사람의 인연 자리는 한 번에 빠르게 만들어지기보다, 잘 다듬은 도구처럼 천천히 형태를 잡는 모양이에요.
02-choi-seongsoo-tiered-fortune.json	life	romance	standard	para1	life/romance/standard/para1	마음을 표현할 때 정확하고 단정한 한마디가 가장 큰 자산이 돼요. 빠르게 결론짓는 자리보다 짧은 약속을 정확히 지키는 자리가 인연의 토대를 단단하게 만들어 줘요. 곁의 사람에게는 큰 표현보다 한결같은 자리가 한층 부드럽게 닿아요.
02-choi-seongsoo-tiered-fortune.json	life	romance	standard	para2	life/romance/standard/para2	결혼·이별 같은 큰 사건은 시기를 못 박지 않고, 매 시기마다 다듬어지는 흐름을 따라가면 자연스럽게 자기 자리가 보여요.
02-choi-seongsoo-tiered-fortune.json	life	romance	expert	para0	life/romance/expert/para0	사주의 일간이 부드러운 사람이라, 인연 자리에서 먼저 손을 내밀기보다 다가오는 마음을 받아들이는 흐름이 자연스러워요.
02-choi-seongsoo-tiered-fortune.json	life	romance	expert	para1	life/romance/expert/para1	#배우자궁에서는 들어오는 신호를 따뜻하게 맞이하는 모양이 또렷해요.
02-choi-seongsoo-tiered-fortune.json	life	romance	expert	para2	life/romance/expert/para2	따뜻한 표현 기운인 #식신이 살아 있으면 곁의 사람에게 한결같은 다정함이 자연스럽게 흘러가고, 책임 기운인 #정관이 자리를 잡으면 신뢰의 토대가 단단해져요.
02-choi-seongsoo-tiered-fortune.json	life	romance	expert	para3	life/romance/expert/para3	일을 함께 받쳐 주는 사람과의 자리인 #노복궁이 든든하면 가까운 곁의 사람들이 자연스럽게 손을 잡아 주는 자리가 자주 열려요.
02-choi-seongsoo-tiered-fortune.json	life	romance	expert	para4	life/romance/expert/para4	다만 자기 마음을 표현하지 못하고 묵혀 두면 거리가 멀어질 수 있어요.
02-choi-seongsoo-tiered-fortune.json	life	romance	expert	para5	life/romance/expert/para5	짧은 한마디라도 자기 색을 자주 드러내는 일이 평생의 관계 자산을 단단히 받쳐 주는 토대가 돼요.
02-choi-seongsoo-tiered-fortune.json	life	family	brief	headline	life/family/brief/headline	가족 관계는 도와줄 마음과 내 생활의 경계를 함께 지킬 때 오래 편요.
02-choi-seongsoo-tiered-fortune.json	life	family	standard	para0	life/family/standard/para0	이 시기는 부모님을 살피는 손과 자녀의 자립을 응원하는 손이 같이 움직이는 자리예요. 폭이 가장 넓어지는 시기이지만, 흐름을 한꺼번에 다 챙기기보다는 매주의 리듬을 차곡차곡 모아 가는 흐름이 잘 맞아요.
02-choi-seongsoo-tiered-fortune.json	life	family	standard	para1	life/family/standard/para1	부모님 세대의 변화는 천천히 들어오기에, 작은 신호를 메모해 두면 리듬을 부드럽게 풀어 갈 수 있어요. 자녀와의 흐름은 어른 대 어른으로 옮겨 가는 자리라, 한 발 떨어져서 응원하는 흐름이 더 따뜻해요.
02-choi-seongsoo-tiered-fortune.json	life	family	standard	para2	life/family/standard/para2	형제와의 흐름도 인생 전체에서 가장 든든한 자리로 자라는 시기이니, 안부를 자주 챙겨 두면 좋아요.
02-choi-seongsoo-tiered-fortune.json	life	family	expert	para0	life/family/expert/para0	가족 장기 흐름에서 봄과 여름의 현재 계절은 관계 안의 활동성과 역할 노출을 키워요.
02-choi-seongsoo-tiered-fortune.json	life	family	expert	para1	life/family/expert/para1	#비견은 가족 안에서 자기 기준을 세우게 하고, #정인은 돌봄과 보호의 반복성을 봐요.
02-choi-seongsoo-tiered-fortune.json	life	family	expert	para2	life/family/expert/para2	#용신과 맞는 관계 방식이면 주도권을 나누고, 맞지 않으면 약속 범위를 줄여 충돌을 낮추는 해석이 적절해요.
02-choi-seongsoo-tiered-fortune.json	life	family	expert	para3	life/family/expert/para3	가족 자리는 #부모궁과 #조상궁이 흐름을 어떻게 이어 주는지 함께 살펴 두면 결정이 한층 또렷해지고, 평소 건네는 인사가 오래 남는 자리예요.
02-choi-seongsoo-tiered-fortune.json	life	career	brief	headline	life/career/brief/headline	중장기 계획을 한 줄로 정리하면 결정이 또렷해져요.
02-choi-seongsoo-tiered-fortune.json	life	career	standard	para0	life/career/standard/para0	인생 전체의 직업운은 맡은 역할을 단단히 받쳐 가며 깊어지는 모양이에요. 결정의 무게가 늘어나는 시기라, 결정을 함께 의논할 사람을 일찍 정해 두면 흔들림이 줄어요.
02-choi-seongsoo-tiered-fortune.json	life	career	standard	para1	life/career/standard/para1	큰 역할만 좇기보다는 지금 맡은 일을 제대로 마무리하는 태도가 다음 신뢰가 된다는 점을 잊지 않으면 좋아요. 일과 가족 사이의 균형은 어느 한쪽이 무너지지 않게 자기 페이스를 적어 두는 것에서 시작돼요.
02-choi-seongsoo-tiered-fortune.json	life	career	standard	para2	life/career/standard/para2	한 역할에 오래 머문 만큼 후반의 기반도 단단해져요.
02-choi-seongsoo-tiered-fortune.json	life	career	expert	para0	life/career/expert/para0	장기 직업운은 성과 압박을 무리하게 키우기보다 #정인의 보호와 학습 기반을 먼저 세우는 해석이 맞습니다.
02-choi-seongsoo-tiered-fortune.json	life	career	expert	para1	life/career/expert/para1	#편관이 강하게 작동하면 결단은 빨라지지만 회복력이 떨어질 수 있으므로 #안정성지수를 함께 보아야 해요.
02-choi-seongsoo-tiered-fortune.json	life	career	expert	para2	life/career/expert/para2	#장성살의 신호와 #천의의 흐름이 함께 보이는 사주는 자기 자리에 머무는 호흡과 곁의 도움을 거절하지 않는 호흡이 둘 다 잘 어울려요.
02-choi-seongsoo-tiered-fortune.json	life	career	expert	para3	life/career/expert/para3	직업운은 #정관의 책임 자리와 #식신의 결과 자리가 함께 단단해질 때 한 단계 더 또렷해지는 흐름이라, 무리한 한 번보다 자기 호흡대로의 결과물 쌓기가 잘 어울려요.
02-choi-seongsoo-tiered-fortune.json	life	study_document	brief	headline	life/study_document/brief/headline	스승·책의 도움으로 깊어지는 공부 사주예요.
02-choi-seongsoo-tiered-fortune.json	life	study_document	standard	para0	life/study_document/standard/para0	스승·책·기관의 도움을 잘 받는 사주라, 공부와 서류 모두 함께 풀어가는 흐름이에요.
02-choi-seongsoo-tiered-fortune.json	life	study_document	standard	para1	life/study_document/standard/para1	흙에 좋은 씨앗과 좋은 비가 함께 내리는 그림을 떠올려 보면 좋아요. 자기 힘만으로 끌고 가기보다, 환경의 도움을 잘 골라 받는 자리가 빛을 내요.
02-choi-seongsoo-tiered-fortune.json	life	study_document	standard	para2	life/study_document/standard/para2	잘 풀리는 면은, 깊이 있는 한 분야가 평생 자산이 되는 모양이에요. 짧은 자격 여러 개보다, 깊은 한 트랙이 더 잘 맞아요.
02-choi-seongsoo-tiered-fortune.json	life	study_document	standard	para3	life/study_document/standard/para3	살짝 주의할 점은, 도움이 너무 많아 결정을 미루는 면이에요. 조언은 두 명만 듣고, 결정은 본인이 내리는 페이스가 잘 맞아요.
02-choi-seongsoo-tiered-fortune.json	life	study_document	standard	para4	life/study_document/standard/para4	천천히 깊어지는 호흡은 시간이 갈수록 더 또렷해져요.
02-choi-seongsoo-tiered-fortune.json	life	study_document	expert	para0	life/study_document/expert/para0	문서 장기운에서 봄과 여름의 현재 계절은 문서 작성, 제출, 결과물 전환이 빨라지는 흐름이에요.
02-choi-seongsoo-tiered-fortune.json	life	study_document	expert	para1	life/study_document/expert/para1	#정인은 근거와 자료의 축적을, #식신은 문서 결과물의 생산성을 봐요.
02-choi-seongsoo-tiered-fortune.json	life	study_document	expert	para2	life/study_document/expert/para2	#용신과 충돌하면 제출 범위를 줄이고 검토 단계를 앞당기는 편이 적절해요.
02-choi-seongsoo-tiered-fortune.json	life	study_document	expert	para3	life/study_document/expert/para3	#천덕귀인의 흐름과 #월덕귀인의 자리가 함께 보이면 문서 흐름이 차분하게 자리 잡는 사주이니, 작은 도움도 미루지 않는 호흡이 잘 어울려요.
02-choi-seongsoo-tiered-fortune.json	life	expression_children	brief	headline	life/expression_children/brief/headline	조금씩 다듬으며 자기 흐름을 찾아 가는 표현이에요.
02-choi-seongsoo-tiered-fortune.json	life	expression_children	standard	para0	life/expression_children/standard/para0	조금씩, 천천히 자기 표현을 찾아가는 인생이에요. 한 번에 큰 무대를 잡기보다 가까운 사람 앞에서 차근히 다듬어 가는 방식이 잘 맞아요.
02-choi-seongsoo-tiered-fortune.json	life	expression_children	standard	para1	life/expression_children/standard/para1	작은 화분에서 출발해 정원으로 자라는 모양이에요. 느린 호흡이 답답하게 느껴질 때도 있지만, 오랜 시간 깎고 다듬은 표현일수록 마지막 힘이 단단해요.
02-choi-seongsoo-tiered-fortune.json	life	expression_children	standard	para2	life/expression_children/standard/para2	자기 페이스로 자기 색을 만드는 데 인생의 가장 큰 보상이 있어요. 다음 세대와 만나는 기회도 함께 비치지만 어떤 모양이든 단정 없이 흘러가는 게 좋아요.
02-choi-seongsoo-tiered-fortune.json	life	expression_children	expert	para0	life/expression_children/expert/para0	장기 흐름에서 봄과 여름의 현재 계절은 표현과 산출 속도를 높여요.
02-choi-seongsoo-tiered-fortune.json	life	expression_children	expert	para1	life/expression_children/expert/para1	#식신은 안정적 생산성을, #상관은 기존 틀을 깨는 표현을 키워요.
02-choi-seongsoo-tiered-fortune.json	life	expression_children	expert	para2	life/expression_children/expert/para2	#자식궁과 함께 살펴보면 창작, 돌봄, 후배 양육의 방식이 더 선명해져요.
02-choi-seongsoo-tiered-fortune.json	life	expression_children	expert	para3	life/expression_children/expert/para3	#화개의 흐름과 #문창귀인의 자리가 함께 보이는 사주는 깊이 있는 표현이 자기 자산이 되는 모양이에요.
02-choi-seongsoo-tiered-fortune.json	life	health_stress	brief	headline	life/health_stress/brief/headline	무리하기 쉬운 흐름이라 쉼이 약이에요.
02-choi-seongsoo-tiered-fortune.json	life	health_stress	standard	para0	life/health_stress/standard/para0	가족·일·자기 사이에서 책임의 무게가 한꺼번에 자리 잡는 시기를 지나는 사주예요. 이 자리에서는 어깨에 얹힌 짐을 가끔 분리해서 적어 보는 습관이 마음의 균형을 단단히 잡아 줘요.
02-choi-seongsoo-tiered-fortune.json	life	health_stress	standard	para1	life/health_stress/standard/para1	마음의 흐름을 단단한 흙으로 비유한다면, 받쳐 주는 자리가 많은 만큼 자기 자신을 위한 자리도 명확히 비워 두어야 무너지지 않아요. '나를 위한 한 시간'이 결국 가족·일 모두를 받쳐 주는 자리가 돼요.
02-choi-seongsoo-tiered-fortune.json	life	health_stress	standard	para2	life/health_stress/standard/para2	잘 풀리는 것은 몸을 움직이는 휴식이에요. 가만히 누워 있는 회복보다, 가벼운 운동·등산·자전거 같은 몸을 움직이는 휴식이 마음의 짐을 더 잘 풀어 주는 흐름이에요.
02-choi-seongsoo-tiered-fortune.json	life	health_stress	standard	para3	life/health_stress/standard/para3	주의할 점은 감정을 미루는 거예요. 일 위주로 사는 시기일수록 작은 마음 신호를 모아 두기 쉬워요. 가까운 사람과 가벼운 대화로 한 번씩 풀어 주면 무리 없이 흘러가요.
02-choi-seongsoo-tiered-fortune.json	life	health_stress	standard	para4	life/health_stress/standard/para4	전체적으로 큰 굴곡 없이, 자리를 단단히 잡아 가는 시기예요. 한 박자 늦추는 자리만 챙기면 마음·몸 모두 든든히 흘러가요.
02-choi-seongsoo-tiered-fortune.json	life	health_stress	expert	para0	life/health_stress/expert/para0	일간의 방향이 또렷하기보다 잔잔한 사주예요. 이런 흐름은 #정인의 돌봄을 자주 빌리는 자리가 평생 잘 맞아요.
02-choi-seongsoo-tiered-fortune.json	life	health_stress	expert	para1	life/health_stress/expert/para1	가까운 어른·스승·책의 도움을 회복의 기지로 두면 무리 없이 흘러가요.
02-choi-seongsoo-tiered-fortune.json	life	health_stress	expert	para2	life/health_stress/expert/para2	압박이 강한 시기에는 #편관의 중심이 한꺼번에 누르지 않도록 일을 분산해 두는 것이 좋아요.
02-choi-seongsoo-tiered-fortune.json	life	health_stress	expert	para3	life/health_stress/expert/para3	한 사람이 다 짊어지지 않아도 되는 자리가 많아요. 결과가 더디게 오는 자리는 #공망의 자리와 닿아요.
02-choi-seongsoo-tiered-fortune.json	life	health_stress	expert	para4	life/health_stress/expert/para4	천천히 익는 자리이니 인내·기록을 평생의 자산으로 두면 마음의 짐이 가벼워져요.
02-choi-seongsoo-tiered-fortune.json	life	health_stress	expert	para5	life/health_stress/expert/para5	잔잔한 일간이 평생을 흘러갈 때는 5년 단위의 작은 점검 자리가 큰 도움이 돼요. 짐이 모이는 시기와 풀어내는 시기를 미리 나눠 두면, 한 번에 무너지는 자리가 평생 잘 만들어지지 않아요. 가까운 회복 기반에서 쉼표를 자주 두는 호흡이 잔잔한 일간의 평생 자산으로 자라요. 매년 한 번씩 자기 짐의 무게를 짧게 적어 두면, 다음 해의 마디가 한층 또렷해져요.
02-choi-seongsoo-tiered-fortune.json	life	movement	brief	headline	life/movement/brief/headline	익숙한 동선에서 한 발짝씩 넓혀 가기 좋아요.
02-choi-seongsoo-tiered-fortune.json	life	movement	standard	para0	life/movement/standard/para0	평소 다니던 길을 한 축으로 두고 활동 반경을 천천히 키워 가는 평생 이동운이에요. 갑작스러운 큰 변화보다 자기 호흡에 맞춰 자리를 조금씩 늘려 가는 페이스가 잘 맞아요.
02-choi-seongsoo-tiered-fortune.json	life	movement	standard	para1	life/movement/standard/para1	작은 여행·짧은 출장이 자기 리듬을 회복시켜 줘요. 큰 변화는 한 번에 하지 않고 단계를 나눠 가면, 호흡이 흐트러지지 않아요.
02-choi-seongsoo-tiered-fortune.json	life	movement	standard	para2	life/movement/standard/para2	다만 변화 자체를 너무 미루면 몸과 마음이 무거워지기 쉬워요. 한 발짝 정도의 작은 움직임은 평생 자기 회복의 자산이 돼요.
02-choi-seongsoo-tiered-fortune.json	life	movement	expert	para0	life/movement/expert/para0	약한 일간이 #역마의 자극을 천천히 풀어 내는 시기예요.
02-choi-seongsoo-tiered-fortune.json	life	movement	expert	para1	life/movement/expert/para1	#조상궁의 뿌리에 힘을 더해 주는 동선이 우선이라, 큰 변화는 단계로 나누는 방식이 잘 맞아요.
02-choi-seongsoo-tiered-fortune.json	life	movement	expert	para2	life/movement/expert/para2	#용신 보완 방향에 어울리는 작은 이동이 회복의 자산이 돼요.
02-choi-seongsoo-tiered-fortune.json	life	movement	expert	para3	life/movement/expert/para3	#대운궁실의 흐름이 강해지는 시기엔 한 발짝 더 내디뎌 봐도 좋아요.
02-choi-seongsoo-tiered-fortune.json	life	movement	expert	para4	life/movement/expert/para4	#천덕귀인의 흐름이 #역마의 자리와 함께 보이는 사주는 새로운 환경의 리듬을 부드럽게 풀어 주는 자리가 평생을 통해 자주 등장해요. 거리감 있는 이동도 곁의 작은 도움 한 번 한 번이 자리를 받쳐 주는 흐름이라, 한 번에 멀리 가기보다 작은 발걸음이 쌓이는 호흡이 자기 흐름에 잘 맞아요.
02-choi-seongsoo-tiered-fortune.json	today	overall	brief	headline	today/overall/brief/headline	느린 흐름이라, 휴식 한 박자가 큰 자산이 돼요.
02-choi-seongsoo-tiered-fortune.json	today	overall	standard	para0	today/overall/standard/para0	장년기의 차분한 기운이 오늘 하루에 부드럽게 이어져요. 처음엔 잔잔한 강줄기였다가 흐를수록 깊어지는 모양처럼, 늦은 출발도 마무리가 단단해요.
02-choi-seongsoo-tiered-fortune.json	today	overall	standard	para1	today/overall/standard/para1	무리해서 새 변화를 만들기보다 익숙한 페이스를 지키는 게 잘 맞아요.
02-choi-seongsoo-tiered-fortune.json	today	overall	standard	para2	today/overall/standard/para2	짧은 휴식 한 박자가 오늘의 가장 큰 자산이 돼요.
02-choi-seongsoo-tiered-fortune.json	today	overall	expert	para0	today/overall/expert/para0	장년기에는 일간이 약하고 #용신 보강을 의식적으로 챙겨야 해서, 짧은 휴식이 큰 자산이 돼요.
02-choi-seongsoo-tiered-fortune.json	today	overall	expert	para1	today/overall/expert/para1	#조상궁의 리듬이 단단할 때 오늘의 결이 한결 안정돼요.
02-choi-seongsoo-tiered-fortune.json	today	overall	expert	para2	today/overall/expert/para2	#납음의 흐름을 함께 살펴 두면 사주 모양의 깊은 색이 더 또렷해지고, #납음오행의 흐름이 자기 흐름을 보완하는 자리가 자주 등장해요.
02-choi-seongsoo-tiered-fortune.json	today	overall	expert	para3	today/overall/expert/para3	전체의 흐름은 #용신 방향과 #희신의 받침이 함께 들어오는 시기에 한 단계 부드러워지고, 거스르는 시기에는 한 박자 늦추는 호흡이 자기를 지키는 자리예요.
02-choi-seongsoo-tiered-fortune.json	today	wealth	brief	headline	today/wealth/brief/headline	오늘은 꾸준함이 빛을 내는 하루예요.
02-choi-seongsoo-tiered-fortune.json	today	wealth	standard	para0	today/wealth/standard/para0	오늘은 작은 돈 관리와 기록을 차곡차곡 정리하기 좋은 하루예요. 큰 결정은 한 박자 늦추고, 익숙한 기준을 다듬는 방식이 잘 어울려요.
02-choi-seongsoo-tiered-fortune.json	today	wealth	standard	para1	today/wealth/standard/para1	비유하자면 잘 다진 들판이 한 줌씩 단단해지는 그림이에요. 한 번에 큰돈을 만들기보다 작은 관리가 모여 하루의 기반을 단단히 다져 줘요.
02-choi-seongsoo-tiered-fortune.json	today	wealth	standard	para2	today/wealth/standard/para2	잘 풀리는 지점은 꾸준함이에요. 매월 같은 날 자동이체, 작은 적금처럼 일정한 자산 관리가 빛을 내요.
02-choi-seongsoo-tiered-fortune.json	today	wealth	standard	para3	today/wealth/standard/para3	주의할 점은 큰 한 방을 좇는 권유예요. 자기 페이스를 지키는 것이 가장 단단한 선택이에요.
02-choi-seongsoo-tiered-fortune.json	today	wealth	expert	para0	today/wealth/expert/para0	오늘 재물운은 빠른 제안과 즉흥 소비가 함께 올라올 수 있습니다.
02-choi-seongsoo-tiered-fortune.json	today	wealth	expert	para1	today/wealth/expert/para1	#편재가 만드는 기회성 선택은 열리지만, #정재의 확인 절차 없이 결정하면 지출 통제가 약해집니다.
02-choi-seongsoo-tiered-fortune.json	today	wealth	expert	para2	today/wealth/expert/para2	#용신과 맞는 거래인지 하루 여유를 두고 확인해 보세요.
02-choi-seongsoo-tiered-fortune.json	today	wealth	expert	para3	today/wealth/expert/para3	돈의 흐름은 #정재의 고정 흐름과 #편재의 변동 흐름을 함께 살펴 두는 자리에서 단단해지고, 큰 한 번보다 작은 결정 쌓기가 자기 페이스에 잘 맞아요.
02-choi-seongsoo-tiered-fortune.json	today	health	brief	headline	today/health/brief/headline	오늘은 잘 쉬고 따뜻하게 챙기는 하루예요.
02-choi-seongsoo-tiered-fortune.json	today	health	standard	para0	today/health/standard/para0	오늘은 몸이 보내는 작은 신호를 무시하지 않는 것이 중요해요.
02-choi-seongsoo-tiered-fortune.json	today	health	standard	para1	today/health/standard/para1	평소보다 무겁거나 예민하게 느껴진다면 계획을 줄이고, 식사와 수면 시간을 먼저 챙겨보세요.
02-choi-seongsoo-tiered-fortune.json	today	health	standard	para2	today/health/standard/para2	작은 피로 신호를 빨리 알아차리면 컨디션을 안정적으로 유지할 수 있습니다.
02-choi-seongsoo-tiered-fortune.json	today	health	expert	para0	today/health/expert/para0	오늘 건강운에서 봄과 여름 기운은 활동량과 열감을 빠르게 올릴 수 있습니다.
